x / R, 2 / (rho * pi * R^3) * m
0,0
0.012882448,0.003743525
0.02447667,0.012796603
0.037359118,0.023143063
0.050241566,0.034782707
0.064412238,0.04642245
0.077294686,0.059355475
0.091465408,0.073581783
0.106924306,0.089101473
0.121095028,0.103327781
0.133977475,0.118847372
0.145571649,0.133073779
0.158454096,0.146006804
0.172624818,0.160233113
0.188083765,0.177045986
0.203542663,0.192565676
0.216425111,0.205498702
0.231884058,0.21972501
0.247343005,0.233951367
0.260225453,0.246884393
0.2756844,0.259817418
0.289855072,0.272750444
0.306602294,0.285683469
0.322061192,0.299909777
0.337520188,0.31154952
0.352979086,0.323189213
0.371014532,0.336122238
0.38647343,0.346468649
0.401932426,0.356815109
0.419967774,0.368454802
0.439291446,0.381387827
0.457326892,0.391734238
0.475362338,0.402080698
0.493397785,0.411133776
0.511433231,0.420186904
0.526892129,0.429240031
0.547504026,0.438293159
0.569404246,0.448639569
0.586151369,0.456399365
0.60547504,0.46415921
0.624798712,0.470625722
0.642834158,0.477092235
0.66215783,0.483558748
0.684057951,0.49002526
0.704669946,0.495198441
0.723993618,0.500371671
0.745893739,0.504251569
0.77037041,0.509424799
0.790982306,0.513304696
0.811594203,0.517184594
0.833494423,0.519771209
0.851529771,0.522357824
0.870853443,0.524944439
0.891465437,0.527531005
0.913580279,0.530548723
0.936124562,0.531626459
0.957595275,0.533781979
0.975845475,0.5359375
1.0005368,0.537015236